date,username,tweet
2022-02-13 00:37:53,northofeden_,after days and days of negative tests  my lft today showed the faintest line i ve ever seen  so i guess now it s official i have covid  man dancing medium light skin tone 
2022-02-13 00:37:52,SoberOptimist, trudeau has a choice as a free willed man to set a tone commensurate with proportional representation  the appointers of his minority govt were polled by ipsos   only     say mandates are most effective to  hammer  covid  he willfully  amp  defiantly won t even moderate knowing this 
2022-02-13 00:37:52,ksteven18644240,  i hear you  i got   covid    shots    shingles and   flu shot as well 
2022-02-13 00:37:52,happycanuck1974,don t discuss the vax side affects diminish facts from vaers website give hospitals more money for covid patients count flu cold cases as covid push pcr tests with a     false positives attack florida for bucking system fund provs states for vax pass system do the right thing
2022-02-13 00:37:52,HeartsofOakUK,on hearts of oak podcast this week  jamie jenkins  crunching the covid stats to expose the government s misinformation  listen on spotify  or the pod app of your choice hit play for a clip  play or pause button   covidstats  
2022-02-13 00:37:52,submarinojujuy,hay m s de     mil vacunas contra el covid    disponibles en jujuy  
2022-02-13 00:37:51,TBoneStyle,  my best friend s husband is unvaccinated and was only last week in icu fighting for his life with covid  his natural immune system couldn t handle it  he needed oxygen  steroids and antibiotics  shove that statistic where  your own mind  doesn t shine 
2022-02-13 00:37:51,bill_smafia, is it a covid or vaccine thing 
2022-02-13 00:37:50,ATL_Test_Watch,covid test available today at cvs       centerville highway      snellville  ga        at      pm      pm      pm      pm      pm      pm      pm      pm      pm    
2022-02-13 00:37:49,AnnaStr76,  drop the tyrannical mandates and this blockade isn t necessary  does pm blackface know the  vax  isn t a vax  that it fails  that people still get covid flu  that people still spread it  wake the f up already  honkhonk
2022-02-13 00:37:49,NastyOldWomyn,excellent thread  striking parallels between tv lawyers commenting on ag garland  and tv medical experts commenting on the handling of covid    mediation 
2022-02-13 00:37:49,cachita2021, y sexo   digo seg n transmite el coba  digo covid
2022-02-13 00:37:49,mattFarris,car with covid misinformation stickers is also stopped on the railroad tracks   man shrugging 
2022-02-13 00:37:47,texasT_J,  no one has died from westing a mask  they have died from taking bs dewormer  drinking bleach and getting covid 
2022-02-13 00:37:47,fachrurrizkyy,masa iya covid sih  
2022-02-13 00:37:47,guru_sc, sc tem       das crian as de   a    anos vacinadas contra covid  segundo governo do estado   santa catarina   g    
2022-02-13 00:37:47,Wpgcold,  children under   account for       of the worlds pop  but only      of covid deaths  in cdn    deaths of  m under age    out of  k under   deaths in cdn  covid accounts for less than     stats can said covid was ranked third for because  so kids are not the concern  science 
2022-02-13 00:37:46,srhodes36,  you could describe covid as       survivability as you say  or  you could describe it as nearly   million americans dead in the past two years 
2022-02-13 00:37:46,WayzataMom2,  if they wouldn t have died at that time without getting covid it s called dying from c
2022-02-13 00:37:46,Jeffmw, well i just recovered from covid so don t need the antibody test 
2022-02-13 00:37:46,ParoledeVilaine,j ai envie de sucre et de gras  voil   tellement que mon menu r v  du moment ce serait   entr e   moules frites plat   raclette et sa fondue moiti  moiti  dessert   gaufres li geoises avec cr me d isigny  bon  dessert  check mark button  je sais pas si c est le covid ou l ennui  grinning face with sweat 
2022-02-13 00:37:46,winendar_bisri,  cara merawat keluarga yang terinfeksi covid    di rumah  
2022-02-13 00:37:45,amazing7773,takeindianstudentsbacktochina  students of chinese medical universities are stuck  in india due to covid travel resistriction as sir our major is medicine so online classes will not be valid plzz help us to return china it s being   years here 
2022-02-13 00:37:45,submarinojujuy,hay m s de     mil vacunas contra el covid    disponibles en jujuy  leelo completo en  destacadas salud todosobreelcoronavirus
